JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2459181.5328309,451.8083,0.5289,9.7627,0.0013,15.3442,2.07,g,B,br
2459182.6495062,456.9828,0.3252,9.7503,0.0008,15.8724,1.49,g,G,br
2459184.8168158,350.2985,0.2084,10.0390,0.0006,16.3553,2.07,g,G,bB
2459185.5698721,450.6106,0.2634,9.7656,0.0006,16.1012,1.52,g,G,br
2459186.8616875,351.8189,0.1452,10.0343,0.0004,16.7480,2.10,g,G,bB
2459187.5498205,258.1717,0.6512,10.3703,0.0027,15.1184,1.60,g,B,br
2459188.6300917,476.2042,0.3199,9.7056,0.0007,15.8901,1.43,g,G,br
2459188.8669143,366.2830,0.1197,9.9905,0.0004,16.9571,2.07,g,G,bB
2459189.6514581,-0.0275,1.1107,14.5386,99.9990,14.5386,1.47,g,G,br
2459189.6710102,350.6629,0.4132,10.0378,0.0013,15.6121,1.48,g,G,br
2459189.8554308,382.5844,0.1850,9.9432,0.0005,16.4845,2.02,g,G,bB
2459190.5996984,456.0879,0.2489,9.7524,0.0006,16.1627,1.48,g,G,br
2459190.727026,393.6100,0.2044,9.9124,0.0006,16.3767,2.12,g,G,bB
2459191.6748184,333.8113,0.4986,10.0913,0.0016,15.4083,1.41,g,B,br
2459192.8427929,357.4843,0.1191,10.0169,0.0004,16.9627,2.19,g,B,bB
2459193.7123318,401.3418,0.2372,9.8913,0.0006,16.2150,2.02,g,G,bB
2459196.5677938,487.3479,0.3542,9.6805,0.0008,15.7796,1.53,g,G,br
2459199.7139525,175.7669,0.6693,10.7877,0.0041,15.0886,2.21,g,B,bB
2459200.5980429,488.5712,0.3669,9.6777,0.0008,15.7412,1.47,g,G,br
2459201.5771926,492.7519,0.3759,9.6685,0.0008,15.7151,1.40,g,G,br
2459204.536231,468.4594,0.3574,9.7234,0.0008,15.7698,2.20,g,B,br
2459205.7045409,384.2715,0.1606,9.9385,0.0005,16.6386,2.34,g,G,bB
2459206.7355715,380.1026,0.1897,9.9503,0.0005,16.4573,2.11,g,G,bB
2459207.7704786,381.0838,0.1762,9.9475,0.0005,16.5374,2.05,g,G,bB
2459208.7969645,391.9843,0.1934,9.9169,0.0005,16.4367,2.07,g,G,bB
2459209.7936713,360.5341,0.1086,10.0077,0.0003,17.0630,2.06,g,G,bB
2459211.6447221,488.3884,0.3791,9.6782,0.0008,15.7058,1.45,g,G,br
2459211.809512,334.9966,0.2350,10.0875,0.0008,16.2251,2.12,g,G,bB
2459212.7867083,340.8661,0.3286,10.0686,0.0010,15.8609,2.11,g,G,bB
2459216.5904729,452.5334,0.2547,9.7609,0.0006,16.1374,1.42,g,G,br
2459218.6573199,454.7884,0.2947,9.7555,0.0007,15.9790,1.59,g,G,br
2459219.7522225,384.8536,0.1850,9.9368,0.0005,16.4844,2.07,g,G,bB
2459221.7302079,368.1830,0.1399,9.9849,0.0004,16.7877,2.02,g,G,bB
2459222.6007956,478.4714,0.3468,9.7004,0.0008,15.8024,1.47,g,G,br
2459223.7593119,69.2010,0.9353,11.7998,0.0147,14.7252,1.70,g,B,bB
2459225.7659763,369.9329,0.1276,9.9798,0.0004,16.8878,2.03,g,G,bB
2459227.7439581,367.2525,0.1204,9.9877,0.0004,16.9508,2.14,g,G,bB
2459228.7446469,400.0838,0.2077,9.8947,0.0006,16.3588,2.11,g,G,bB
2459229.7259693,363.8996,0.1004,9.9976,0.0003,17.1486,2.31,g,G,bB
2459230.7377032,367.2386,0.0991,9.9877,0.0003,17.1627,2.03,g,G,bB
2459231.7345201,365.2781,0.1035,9.9935,0.0003,17.1152,2.10,g,G,bB
2459232.572108,453.3228,0.2442,9.7590,0.0006,16.1832,1.50,g,G,br
