HJD,UT Date,Camera,Filter,FWHM,Limit,Mag,Mag Error,Flux (mJy),Flux Error
2460274.56883,2023-11-26.0648422,br,g,2.0,13.606,10.153,0.009,315.381,2.622
2460278.59626,2023-11-30.0924680,br,g,1.5,15.24,10.047,0.002,347.585,0.582
2460282.78677,2023-12-04.2832010,br,g,1.51,15.038,10.169,0.002,310.694,0.701
2460284.77968,2023-12-06.2762312,br,g,1.45,15.408,10.083,0.002,336.326,0.499
2460286.70503,2023-12-08.2016898,,,1.77,15.593,9.570,0.001,539.765,0.421
2460288.7994,2023-12-10.2961984,,,1.41,15.493,9.564,0.001,542.357,0.461
2460290.69298,2023-12-12.1898921,,,1.99,15.765,9.596,0.001,526.854,0.359
2460291.84222,2023-12-13.3392131,,,1.51,14.997,9.592,0.001,528.705,0.728
2460304.56973,2023-12-26.0676331,br,g,1.58,13.953,9.781,0.005,444.185,1.905
2460309.72101,2023-12-31.2193025,,,1.52,14.746,9.545,0.002,552.171,0.917
2460310.78989,2024-01-01.2882702,,,1.42,15.26,9.576,0.001,536.505,0.572
2460312.72569,2024-01-03.2242276,,,2.36,15.123,9.615,0.001,517.463,0.648
2460314.70723,2024-01-05.2059190,,,1.74,15.695,9.566,0.001,541.596,0.383
2460333.71734,2024-01-24.2176243,,,2.22,15.845,9.605,0.001,522.526,0.333
2460335.71054,2024-01-26.2109993,,,2.15,15.871,9.606,0.001,521.79,0.325
2460337.6621,2024-01-28.1627218,br,g,1.91,15.044,9.921,0.002,390.427,0.697
2460338.65935,2024-01-29.1600437,br,g,1.6,15.49,9.983,0.001,368.821,0.462
2460341.64892,2024-02-01.1498673,br,g,1.45,15.319,9.984,0.002,368.381,0.541
2460342.64956,2024-02-02.1505870,br,g,1.43,15.499,10.006,0.001,361.003,0.458
2460348.62603,2024-02-08.1275473,br,g,1.56,15.332,10.030,0.002,353.127,0.535
2460353.61357,2024-02-13.1154782,br,g,1.44,15.318,9.954,0.002,378.837,0.542
2460354.61048,2024-02-14.1124763,br,g,1.48,15.12,9.975,0.002,371.504,0.65
2460355.59974,2024-02-15.1018056,br,g,1.52,15.453,9.946,0.001,381.467,0.478
2460361.58743,2024-02-21.0899399,br,g,1.96,14.962,9.929,0.002,387.603,0.752
2460363.60074,2024-02-23.1033861,br,g,2.11,14.404,10.017,0.004,357.391,1.258
2460365.57873,2024-02-25.0815165,br,g,2.3,14.593,10.033,0.003,352.263,1.057
2460453.11196,2024-05-22.6161335,,,1.54,15.776,9.856,0.001,414.502,0.355
2460456.10911,2024-05-25.6131472,,,1.67,15.687,9.872,0.001,408.437,0.386
2460457.10585,2024-05-26.6098358,,,1.56,15.9,9.836,0.001,422.217,0.317
2460458.10277,2024-05-27.6067133,,,1.68,15.362,9.997,0.002,364.033,0.52
2460466.0979,2024-06-04.6014233,,,2.3,15.47,9.988,0.001,367.203,0.471
2460467.09446,2024-06-05.5979201,,,1.48,15.913,9.843,0.001,419.446,0.313
2460468.09483,2024-06-06.5982379,,,1.37,15.822,9.864,0.001,411.739,0.341
2460469.08763,2024-06-07.5909844,,,1.43,15.704,9.901,0.001,397.733,0.38
2460470.0873,2024-06-08.5905909,,,1.45,16.183,9.792,0.001,439.586,0.244
2460471.0807,2024-06-09.5839347,,,1.6,16.226,9.787,0.001,441.876,0.235
